iter	RMSE
0	8.444491517
1	8.355663294
2	8.266427145
3	8.178607085
4	8.103262793
5	8.025366565
6	7.955513713
7	7.88517334
8	7.82284839
9	7.754956781
10	7.689100513
11	7.616955799
12	7.566554275
13	7.518370475
14	7.472135455
15	7.423172778
16	7.379790211
17	7.326535898
18	7.287907587
19	7.243062292
20	7.211527007
21	7.18170087
22	7.143731957
23	7.10865952
24	7.074864032
25	7.039987825
26	7.003611453
27	6.974027226
28	6.945010989
29	6.928571314
30	6.903985775
31	6.872250698
32	6.849901591
33	6.822334801
34	6.791145505
35	6.763910987
36	6.749275812
37	6.738135051
38	6.712288087
39	6.694913422
40	6.677044317
41	6.656607465
42	6.63695453
43	6.614457912
44	6.588599973
45	6.570796004
46	6.552619328
47	6.540645079
48	6.512792382
49	6.499906036
50	6.478374233
51	6.465292006
52	6.46272288
53	6.450324558
54	6.444773318
55	6.424778061
56	6.417277172
57	6.399783078
58	6.396816077
59	6.385529988
60	6.375007111
61	6.359507746
62	6.341821047
63	6.327557315
64	6.316898163
65	6.309689154
66	6.29956501
67	6.288853123
68	6.272583055
69	6.263026073
70	6.251038595
71	6.232516208
72	6.223859587
73	6.212693598
74	6.205575981
75	6.196413204
76	6.180135099
77	6.16850228
78	6.154074904
79	6.144596937
80	6.140137872
81	6.135459219
82	6.126614706
83	6.116219906
84	6.11217995
85	6.103810901
86	6.096694257
87	6.086704848
88	6.083840765
89	6.076423366
90	6.073659876
91	6.059464687
92	6.046428631
93	6.039401354
94	6.029958058
95	6.02540158
96	6.01342591
97	6.005859048
98	5.997840688
99	5.985920098
100	5.982738305
101	5.97746746
102	5.966610838
103	5.961780967
104	5.95808625
105	5.951475208
106	5.946632789
107	5.93939008
108	5.932124078
109	5.927203596
110	5.917966193
111	5.911336149
112	5.900905645
113	5.888405865
114	5.88533993
115	5.879227189
116	5.870328569
117	5.865257553
118	5.857935429
119	5.855728808
120	5.85316726
121	5.844259591
122	5.835426352
123	5.831267919
124	5.825150888
125	5.822533789
126	5.8126303
127	5.806708292
128	5.803842767
129	5.798527415
130	5.789251784
131	5.783345101
132	5.777750754
133	5.774663172
134	5.770289653
135	5.767313642
136	5.756614124
137	5.753728919
138	5.746746144
139	5.738645016
140	5.733419612
141	5.72800453
142	5.724761475
143	5.718398559
144	5.71305711
145	5.709816801
146	5.707012945
147	5.703344229
148	5.697055189
149	5.692438751
150	5.687950775
151	5.684300319
152	5.679670574
153	5.676608834
154	5.671440655
155	5.668091982
156	5.661537169
157	5.656727448
158	5.653309182
159	5.648637072
160	5.645639144
161	5.641047452
162	5.63748505
163	5.63453186
164	5.630726349
165	5.627210184
166	5.625166262
167	5.622264121
168	5.619440678
169	5.615872258
170	5.603460558
171	5.601373907
172	5.589437362
173	5.585044257
174	5.582541451
175	5.579006619
176	5.573910961
177	5.568827928
178	5.56586361
179	5.558640508
180	5.551705714
181	5.547049005
182	5.536139459
183	5.530986399
184	5.522846213
185	5.51949738
186	5.517157813
187	5.514350187
188	5.50881105
189	5.506503208
190	5.501718857
191	5.492566882
192	5.482574945
193	5.478305566
194	5.475978783
195	5.473170652
196	5.470284493
197	5.462100562
198	5.459516322
199	5.456930378
200	5.454782881
201	5.452340845
202	5.449274773
203	5.446814348
204	5.437439424
205	5.434313207
206	5.431507204
207	5.427883672
208	5.424609491
209	5.418406142
210	5.41585322
211	5.41086888
212	5.408286999
213	5.40530372
214	5.402514643
215	5.400435062
216	5.397757152
217	5.394734379
218	5.392067638
219	5.389448374
220	5.387006526
221	5.382512436
222	5.376196009
223	5.372460312
224	5.362205027
225	5.359350541
226	5.357097226
227	5.353103915
228	5.347949231
229	5.345728658
230	5.343311496
231	5.340774231
232	5.338346822
233	5.33389278
234	5.330994351
235	5.328403388
236	5.320775294
237	5.318225335
238	5.313078538
239	5.30830718
240	5.306124299
241	5.303694755
242	5.301224446
243	5.295732122
244	5.285966381
245	5.283475263
246	5.277516059
247	5.273674217
248	5.26848569
249	5.263737263
250	5.258798745
251	5.25470558
252	5.248364884
253	5.245897075
254	5.243571155
255	5.241178343
256	5.23914262
257	5.237090588
258	5.234834967
259	5.229357913
260	5.226764605
261	5.224320572
262	5.216825242
263	5.214510163
264	5.210044591
265	5.204757486
266	5.19936859
267	5.194545468
268	5.188044892
269	5.185752108
270	5.177460995
271	5.175371126
272	5.173214787
273	5.171257829
274	5.167968739
275	5.165876046
276	5.164123151
277	5.161923352
278	5.159882683
279	5.152722351
280	5.150884506
281	5.14890792
282	5.146955642
283	5.140128643
284	5.138542427
285	5.136544159
286	5.134776239
287	5.129271799
288	5.124949685
289	5.121875545
290	5.119931509
291	5.113369524
292	5.109614091
293	5.107729478
294	5.106242101
295	5.103721311
296	5.102673813
297	5.099096026
298	5.095708991
299	5.093879556
300	5.091033803
301	5.089341158
302	5.087395791
303	5.082684858
304	5.079923107
305	5.075437589
306	5.073758462
307	5.071219257
308	5.069499338
309	5.06769726
310	5.065342147
311	5.061088487
312	5.059499912
313	5.055142055
314	5.053516931
315	5.05212545
316	5.045346124
317	5.043662526
318	5.042172655
319	5.040602552
320	5.03759848
321	5.036252298
322	5.030687414
323	5.027706456
324	5.025921912
325	5.024334237
326	5.022549881
327	5.017920796
328	5.016022409
329	5.014333538
330	5.012846392
331	5.010460242
332	5.009126668
