iter	Passed	Remaining
0	1	1133
1	2	1356
2	3	1181
3	4	1076
4	4	976
5	5	920
6	6	911
7	7	915
8	8	941
9	9	942
10	10	934
11	11	930
12	11	905
13	12	882
14	13	873
15	14	863
16	23	1363
17	24	1333
18	25	1314
19	26	1310
20	32	1495
21	32	1456
22	34	1450
23	34	1413
24	35	1384
25	36	1350
26	40	1470
27	45	1596
28	46	1566
29	47	1547
30	48	1518
31	49	1494
32	50	1469
33	50	1442
34	51	1416
35	52	1392
36	52	1372
37	57	1444
38	61	1519
39	62	1499
40	63	1475
41	63	1451
42	64	1429
43	65	1415
44	65	1396
45	66	1376
46	70	1435
47	74	1486
48	75	1470
49	77	1464
50	78	1458
51	84	1548
52	85	1533
53	86	1514
54	87	1495
55	87	1477
56	88	1459
57	92	1501
58	93	1491
59	94	1475
60	94	1460
61	95	1447
62	96	1433
63	101	1484
64	102	1471
65	106	1512
66	107	1500
67	108	1485
68	114	1544
69	115	1532
70	115	1516
71	116	1499
72	116	1482
73	117	1467
74	117	1453
75	118	1442
76	119	1430
77	124	1467
78	125	1458
79	130	1500
80	131	1489
81	131	1476
82	132	1463
83	133	1451
84	133	1441
85	134	1430
86	139	1460
87	143	1482
88	148	1522
89	153	1550
90	154	1541
91	159	1570
92	159	1560
93	160	1550
94	170	1620
95	171	1610
96	175	1631
97	181	1668
98	182	1658
99	183	1647
100	187	1669
101	188	1657
102	188	1645
103	193	1666
104	198	1693
105	199	1681
106	199	1668
107	200	1656
108	201	1645
109	207	1675
110	207	1664
111	215	1709
112	220	1733
113	222	1725
114	227	1752
115	228	1740
116	228	1727
117	232	1741
118	237	1757
119	238	1746
120	245	1782
121	255	1839
122	256	1826
123	256	1815
124	257	1805
125	258	1794
126	259	1782
127	259	1771
128	264	1785
129	265	1774
130	265	1764
131	270	1778
132	271	1768
133	276	1788
134	277	1777
135	278	1766
136	278	1754
137	279	1743
138	279	1733
139	289	1781
140	298	1817
141	299	1806
142	299	1795
143	300	1784
144	300	1774
145	304	1782
146	315	1832
147	316	1822
148	317	1811
149	321	1824
150	322	1814
151	323	1806
152	324	1795
153	325	1787
154	326	1779
155	332	1797
156	333	1788
157	337	1801
158	339	1794
159	340	1785
160	340	1776
161	341	1766
162	342	1756
163	342	1746
164	343	1737
165	347	1748
166	348	1738
167	349	1729
168	349	1720
169	350	1711
170	356	1727
171	357	1719
172	357	1710
173	358	1701
174	359	1692
175	359	1683
176	360	1675
177	360	1666
178	369	1692
179	369	1684
180	370	1676
181	375	1689
182	377	1683
183	378	1676
184	379	1670
185	380	1663
186	384	1672
187	385	1664
188	386	1657
189	391	1669
190	397	1683
191	398	1675
192	399	1669
193	411	1710
194	412	1702
195	417	1711
196	419	1707
197	427	1732
198	435	1754
199	436	1746
200	437	1737
201	437	1729
202	438	1720
203	442	1726
204	443	1718
205	452	1743
206	453	1735
207	457	1741
208	458	1733
209	458	1725
210	459	1717
211	460	1710
212	461	1703
213	462	1697
214	463	1691
215	464	1684
216	464	1676
217	465	1669
218	470	1679
219	471	1671
220	472	1663
221	472	1656
222	473	1648
223	473	1640
224	477	1646
225	478	1639
226	479	1632
227	480	1626
228	481	1619
229	486	1628
230	490	1633
231	491	1626
232	492	1619
233	500	1638
234	501	1631
235	505	1636
236	509	1640
237	518	1659
238	522	1664
239	523	1657
240	524	1650
241	527	1653
242	533	1660
243	533	1653
244	534	1646
245	534	1639
246	542	1653
247	546	1655
248	546	1649
249	553	1661
250	554	1654
251	559	1660
252	560	1655
253	561	1649
254	572	1673
255	574	1668
256	575	1663
257	576	1658
258	577	1653
259	584	1662
260	584	1655
261	590	1663
262	591	1657
263	592	1652
264	593	1647
265	600	1657
266	601	1651
267	602	1645
268	603	1639
269	615	1663
270	617	1661
271	618	1656
272	620	1651
273	621	1646
274	622	1641
275	624	1636
276	625	1632
277	626	1626
278	626	1620
279	633	1627
280	633	1621
281	634	1615
282	635	1609
283	635	1603
284	636	1597
285	641	1601
286	642	1595
287	647	1601
288	648	1595
289	649	1589
290	654	1595
291	655	1589
292	656	1583
293	662	1589
294	662	1583
295	663	1577
296	664	1571
297	664	1565
298	665	1559
299	665	1553
300	666	1547
301	667	1541
302	667	1535
303	668	1530
304	668	1524
305	673	1528
306	679	1534
307	684	1537
308	685	1532
309	685	1526
310	686	1520
311	690	1523
312	691	1518
313	692	1513
314	693	1507
315	693	1502
316	698	1505
317	699	1501
318	700	1495
319	701	1490
320	701	1484
321	702	1479
322	703	1473
323	703	1468
324	704	1462
325	704	1457
326	705	1452
327	706	1446
328	712	1453
329	713	1447
330	713	1442
331	714	1437
332	715	1432
333	719	1434
334	720	1429
335	724	1431
336	725	1426
337	725	1421
338	726	1416
339	730	1418
340	734	1419
341	735	1415
342	736	1410
343	742	1415
344	742	1410
345	743	1405
346	747	1407
347	748	1402
348	762	1423
349	764	1419
350	776	1434
351	781	1439
352	783	1435
353	784	1432
354	786	1428
355	787	1424
356	788	1419
357	789	1415
358	789	1410
359	790	1405
360	791	1400
361	795	1401
362	796	1396
363	800	1398
364	801	1394
365	801	1389
366	808	1395
367	809	1390
368	814	1392
369	815	1388
370	817	1385
371	818	1382
372	826	1389
373	832	1393
374	834	1390
375	841	1396
376	848	1401
377	849	1397
378	850	1393
379	855	1395
380	856	1391
381	856	1386
382	861	1387
383	865	1388
384	866	1384
385	867	1379
386	868	1375
387	869	1371
388	869	1366
389	874	1368
390	875	1363
391	876	1359
392	877	1355
393	878	1350
394	879	1346
395	884	1348
396	889	1351
397	890	1347
398	892	1343
399	893	1339
400	893	1335
401	894	1330
402	895	1326
403	895	1321
404	896	1317
405	897	1312
406	898	1308
407	903	1311
408	904	1306
409	909	1308
410	910	1304
411	914	1305
412	915	1301
413	916	1296
414	922	1300
415	923	1296
416	924	1293
417	931	1296
418	933	1294
419	934	1289
420	934	1285
421	935	1281
422	940	1283
423	946	1286
424	947	1281
425	953	1284
426	957	1284
427	961	1285
428	962	1280
429	962	1276
430	963	1272
431	970	1275
432	970	1271
433	971	1267
434	976	1268
435	977	1264
436	978	1261
437	985	1264
438	990	1265
439	991	1261
440	991	1257
441	992	1253
442	993	1249
443	994	1245
444	995	1241
445	996	1237
446	997	1233
447	998	1229
448	998	1225
449	999	1221
450	1003	1221
451	1004	1218
452	1005	1214
453	1006	1210
454	1011	1211
455	1017	1214
456	1018	1210
457	1019	1206
458	1020	1202
459	1020	1198
460	1029	1204
461	1034	1204
462	1038	1204
463	1039	1201
464	1040	1196
465	1044	1196
466	1045	1192
467	1053	1197
468	1053	1193
469	1054	1189
470	1056	1186
471	1058	1183
472	1059	1180
473	1067	1184
474	1067	1180
475	1068	1176
476	1069	1172
477	1073	1172
478	1074	1168
479	1075	1165
480	1076	1161
481	1082	1163
482	1083	1159
483	1084	1155
484	1084	1151
485	1085	1147
486	1086	1144
487	1086	1140
488	1087	1136
489	1087	1132
490	1088	1128
491	1089	1124
492	1089	1120
493	1095	1122
494	1096	1118
495	1097	1114
496	1097	1110
497	1098	1107
498	1098	1103
499	1099	1099
500	1100	1095
501	1100	1092
502	1101	1088
503	1102	1084
504	1106	1084
505	1113	1086
506	1113	1082
507	1114	1079
508	1119	1079
509	1120	1076
510	1121	1072
511	1121	1069
