role,company,years_of_exp,city,country,gender,salary,compensation,verified
tester,other,3,bandung,ID,Male,30.0,rsu so stonks.,Verified
hes engineer,other,12,pekanbaru,ID,Male,54.0,*vacation allowance = 1 month salary *full medical coverage = rawat jalan (unlimited); rawat inap (up to 1.000.000 idr/night) *educational allowance = s1 (100% paid by company) ; s2 (75% paid by company),
lead front end,other,5,jakarta,ID,Male,16.5,,
android developer,other,5,jakarta,ID,Male,23.5,"insurance, work from home.",
dats scientist,other,6,jakarta,ID,Male,14.6,,
backend engineer,other,10,tangerang,ID,Prefer not to tell,119.0,,
platform engineer,other,10,tangerang,ID,Prefer not to tell,124.47925,,Verified
software engineer,other,2,tangerang,ID,Male,13.75,private insurance,
senior frontend engineer,other,3,bogor,ID,Male,21.5,,
it helpdesk/ customer support,other,1,kota bekasi,ID,Male,6.955,,
frontend engineer,other,2,surabaya,ID,Male,8.5,travel reimbursement,
tech lead,other,5,yogyakarta,ID,Prefer not to tell,30.0,,
software developer,other,2,tangerang,ID,Male,8.1,,
software engineer,shopee,2,singapore,SG,Male,80.33265,rsu: sgd 20.000 / 3 months,
android developer,other,0,surabaya,ID,Male,4.7,,
engineering manager,other,6,tangerang,ID,Prefer not to tell,39.0,,
full stack developer,other,1,jakarta,ID,Prefer not to tell,9.0,,
social media strategist,other,3,jakarta,ID,Prefer not to tell,7.65,,
senior graphic designer,other,4,jakarta,ID,Prefer not to tell,6.6,,
data analyst,other,1,jakarta,ID,Female,7.5,,
android developer,other,5,surabaya,ID,Prefer not to tell,7.6,,
data analyst,traveloka,1,jakarta,ID,Male,14.24,,
software engineer,other,0,jakarta,ID,Male,11.0,,
junior backend progammer,other,1,tangerang,ID,Prefer not to tell,5.0,,
test engineer,other,8,jakarta,ID,Prefer not to tell,18.0,15 dayoff,
account manager,other,10,jakarta,ID,Male,37.0,,Verified
backend engineer,gojek,4,bekasi,ID,Male,30.9,,
ui/ux designer,other,5,yogyakarta,ID,Prefer not to tell,9.0,"insurance, remote-work option",
product engineer,gojek,5,jakarta,ID,Prefer not to tell,41.0,,
electronic technician,other,0,jakarta,ID,Male,18.0,stock option as per request by employee,
data scientist,traveloka,4,tangerang,ID,Male,28.0,,
data scientist,other,1,bandung,ID,Female,6.5,,
technical lead,other,1,bandung,ID,Male,5.0,,
tech lead,other,12,bogor,ID,Male,25.0,,
business development manager,other,6,jakarta,ID,Male,25.0,"- corporate flazz card 700 ribu , top up every week for toll & petrol - pph21 tax refund , company paid my salary tax",
junior ios developer,other,1,jakarta,ID,Male,5.5,"insurance, transportation, telecomunications",
product manager,other,6,jakarta,ID,Male,28.0,,
associate software engineer,other,0,jakarta,ID,Male,12.0,external insurance,
business process specialist,other,5,jakarta,ID,Male,20.0,,
junior front end developer,other,1,yogyakarta,ID,Prefer not to tell,10.0,,
backend engineer,other,3,jakarta,ID,Male,8.0,private health insurance gym membership bpjs,
assistant manager - it development,other,5,jakarta,ID,Male,10.0,"full health benefits, phone credits, transportation vouchers, pto",
software engineer (front-end),other,2,jakarta,ID,Prefer not to tell,15.8,"insurance, 12 days off",Verified
senior product designer,other,12,bandung,ID,Male,12.0,,
junior software engineer,other,0,nomad,ID,Male,5.0,"lop, insurance,",
human resources,other,1,jakarta,ID,Female,8.5,"health insurance, life insurance",Verified
decision scientist,gojek,4,jakarta,ID,Male,32.5,,
software engineer,other,2,klaten,ID,Male,3.0,,Verified
campaign management,gojek,4,jakarta,ID,Female,14.6,,
mining engineer,other,3,sumbawa barat,ID,Male,15.0,,
business intelligence analyst,other,0,jakarta,ID,Female,9.0,,
senior software engineer,other,3,jakarta selatan,ID,Prefer not to tell,33.0,,
data engineer,other,3,jakarta,ID,Prefer not to tell,18.0,"private insurance, tax benefit",
data engineer,other,3,jakarta,ID,Male,18.0,"private insurance, tax benefit",
senior devops engineer - previously systemenginner and lecturer,other,13,jakarta,ID,Prefer not to tell,38.0,medical insurance,
merchandiser,other,7,yogyakarta,ID,Prefer not to tell,10.5,,
assistant manager,other,6,jakarta,ID,Male,25.98959,,
strategic project manager,other,5,jakarta,ID,Male,36.7,rsu twice a year,
product designer,other,4,jakarta,ID,Prefer not to tell,16.4,,
associate product manager,other,0,jakarta,ID,Male,9.5,"stock options, private insurance, laptop ownership, smartphone ownership program, unlimited leaves if there's covid or any danger medical situation, special leaves for family events",
tech lead,other,11,yogyakarta,ID,Male,39.0,,
data analyst,traveloka,5,tangerang,ID,Male,23.0,,
qa engineer,other,6,bandung,ID,Female,15.45,20 days annual leave,
product designer,other,1,jakarta,ID,Male,8.5,,
bd manager,gojek,3,jakarta,ID,Prefer not to tell,35.0,,
business analyst,gojek,1,jakarta,ID,Female,8.5,,
operations supervisor,gojek,3,satellite city,ID,Male,9.6,,
management trainee,other,2,jakarta,ID,Male,7.725,none,
social media specialist,other,5,jakarta,ID,Female,7.0,"bpjs, medical, training, performance bonus, thr, lumsum",
quality assurance,other,3,bandung,ID,Prefer not to tell,11.0,,
corporate communications,other,4,jakarta,ID,Male,10.0,,
sap consultant,other,3,jakarta,ID,Female,12.0,"transport allowance, 13th salary, yearly fixed bonus, performance bonus, medical insurance, maternity and glasses reimbursement, espp, parking reimbursement.",
project manager,other,0,jakarta,ID,Female,5.0,,
facility engineer,other,7,duri,ID,Male,36.0,,
data support supervisor,other,3,jakarta,ID,Female,9.0,,
partnership specialist,other,6,tangerang,ID,Male,15.0,meals,
project manager,gojek,7,jakarta,ID,Male,24.0,communication + transportation compensation,
mobile developer,other,1,jakarta,ID,Prefer not to tell,6.0,,
graphic designer,other,4,jakarta,ID,Male,9.0,,
digital marketing analyst,traveloka,3,jakarta,ID,Prefer not to tell,13.0,,
android developer,other,5,semarang,ID,Prefer not to tell,18.5,,
product marketing manager,gojek,6,jakarta,ID,Prefer not to tell,25.0,,
community officer,other,2,yogyakarta,ID,Prefer not to tell,3.0,private insurance,
ui designer,other,3,malang,ID,Prefer not to tell,3.55,,
partnership,gojek,1,jakarta,ID,Male,9.0,,
business intelligence analyst,other,3,jakarta,IQ,Male,14.5,,
ux writer,other,2,jakarta,ID,Prefer not to tell,12.0,8000000,
copywriter,tokopedia,1,jakarta,ID,Prefer not to tell,8.0,,
senior copywriter,tokopedia,5,jakarta,ID,Prefer not to tell,15.0,,
senior ux researcher,other,3,jakarta,ID,Prefer not to tell,15.0,,
associate product manager,other,1,jakarta,ID,Male,13.0,,
software engineer,tokopedia,2,jakarta,ID,Male,12.325,"allowance, bonus, stock, insurance",
financial analyst,other,2,jakarta,ID,Female,13.0,,
business analyst,gojek,2,jakarta,ID,Female,11.0,gopay 500k,
ux writer,other,1,jakarta,ID,Prefer not to tell,14.75,,
financial planning,other,3,jakarta,ID,Female,26.0,,
content specialist,other,1,jakarta,ID,Prefer not to tell,8.5,insurance; wfh; transport benefits,
