role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
tester,Purchase to unlock 👆,3,Bandung,ID,Male,IDR,30000000,Net,Monthly,RSU so stonks.,Verified
HES Engineer,Purchase to unlock 👆,12,Pekanbaru,ID,Male,IDR,54000000,Gross,Monthly,*Vacation allowance = 1 month salary *Full medical coverage = rawat jalan (unlimited); rawat inap (up to 1.000.000 IDR/night) *Educational allowance = S1 (100% paid by company) ; S2 (75% paid by company),
Lead Front End,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,16500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,23500000,Gross,Monthly,"Insurance, work from home.",
dats scientist,Purchase to unlock 👆,6,jakarta,ID,Male,IDR,14600000,Net,Monthly,,
dats scientist,Purchase to unlock 👆,6,jakarta,ID,Male,IDR,14600000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,10,Tangerang,ID,Prefer not to tell,IDR,119000000,Gross,Monthly,,
Platform Engineer,Purchase to unlock 👆,10,Tangerang,ID,Prefer not to tell,USD,102840,Gross,Annual,,Verified
Software Engineer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,13750000,Net,Monthly,Private insurance,
Senior Frontend Engineer,Purchase to unlock 👆,3,Bogor,ID,Male,IDR,21500000,Gross,Monthly,,
IT Helpdesk/ Customer Support,Purchase to unlock 👆,1,Kota Bekasi,ID,Male,IDR,6955000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,2,Surabaya,ID,Male,IDR,8500000,Net,Monthly,Travel reimbursement,
Tech Lead,Purchase to unlock 👆,5,Yogyakarta,ID,Prefer not to tell,IDR,30000000,Gross,Monthly,,
Software Developer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,8100000,Net,Monthly,,
Software Developer,Purchase to unlock 👆,2,Tangerang,ID,Male,IDR,8100000,Net,Monthly,,
Software Engineer,Shopee,2,Singapore,SG,Male,SGD,7650,Gross,Monthly,RSU: SGD 20.000 / 3 months,
Android Developer,Purchase to unlock 👆,0,Surabaya,ID,Male,IDR,4700000,Gross,Monthly,,
Engineering Manager,Purchase to unlock 👆,6,Tangerang,ID,Prefer not to tell,IDR,39000000,Net,Monthly,,
Full stack developer,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
Social Media Strategist,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,7650000,Net,Monthly,,
senior graphic designer,Purchase to unlock 👆,4,jakarta,ID,Prefer not to tell,IDR,6600000,Gross,Monthly,,
Data analyst,Purchase to unlock 👆,1,Jakarta,ID,Female,IDR,7500000,Gross,Monthly,,
android developer,Purchase to unlock 👆,5,surabaya,ID,Prefer not to tell,IDR,7600000,Gross,Monthly,,
Data Analyst,Traveloka,1,Jakarta,ID,Male,IDR,14240000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Junior BackEnd Progammer,Purchase to unlock 👆,1,Tangerang,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,
Test Engineer,Purchase to unlock 👆,8,jakarta,ID,Prefer not to tell,IDR,18000000,Net,Monthly,15 dayoff,
Account Manager,Purchase to unlock 👆,10,Jakarta,ID,Male,IDR,37000000,Gross,Monthly,,Verified
Backend Engineer,Gojek,4,Bekasi,ID,Male,IDR,30900000,Net,Monthly,,
UI/UX Designer,Purchase to unlock 👆,5,Yogyakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,"Insurance, remote-work option",
Product Engineer,Gojek,5,Jakarta,ID,Prefer not to tell,IDR,41000000,Net,Monthly,,
Electronic Technician,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,18000000,Net,Monthly,Stock option as per request by employee,
Data Scientist,Traveloka,4,Tangerang,ID,Male,IDR,28000000,Net,Monthly,,
Data Scientist,Purchase to unlock 👆,1,Bandung,ID,Female,IDR,6500000,Gross,Monthly,,
Technical Lead,Purchase to unlock 👆,1,Bandung,ID,Male,IDR,5000000,Net,Monthly,,
Tech Lead,Purchase to unlock 👆,12,Bogor,ID,Male,IDR,25000000,Gross,Monthly,,
Business Development Manager,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,25000000,Net,Monthly,"- Corporate Flazz Card 700 Ribu , top up every week for toll & petrol - Pph21 Tax Refund , Company paid my salary tax",
Junior iOS Developer,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,5500000,Net,Monthly,"Insurance, Transportation, Telecomunications",
Product manager,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,28000000,Gross,Monthly,,
Associate Software Engineer,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,External Insurance,
business process specialist,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,20000000,Gross,Monthly,,
Junior Front End Developer,Purchase to unlock 👆,1,Yogyakarta,ID,Prefer not to tell,IDR,10000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,8000000,Net,Monthly,Private health insurance Gym Membership BPJS,
Assistant Manager - IT Development,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,10000000,Gross,Monthly,"Full health benefits, phone credits, transportation vouchers, PTO",
Software Engineer (Front-end),Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,15800000,Gross,Monthly,"Insurance, 12 days off",Verified
Senior Product Designer,Purchase to unlock 👆,12,Bandung,ID,Male,IDR,12,Gross,Monthly,,
Junior Software Engineer,Purchase to unlock 👆,0,Nomad,ID,Male,IDR,5000000,Gross,Monthly,"LOP, insurance,",
Human Resources,Purchase to unlock 👆,1,Jakarta,ID,Female,IDR,8500000,Gross,Monthly,"Health Insurance, Life Insurance",Verified
Decision Scientist,Gojek,4,Jakarta,ID,Male,IDR,32500000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,2,Klaten,ID,Male,IDR,3000000,Net,Monthly,,Verified
Campaign Management,Gojek,4,Jakarta,ID,Female,IDR,14600000,Gross,Monthly,,
Mining Engineer,Purchase to unlock 👆,3,Sumbawa Barat,ID,Male,IDR,15000000,Net,Monthly,,
Business Intelligence Analyst,Purchase to unlock 👆,0,Jakarta,ID,Female,IDR,9000000,Net,Monthly,,
Senior Software Engineer,Purchase to unlock 👆,3,Jakarta Selatan,ID,Prefer not to tell,IDR,33000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Data Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Senior DevOps Engineer - Previously SystemEnginner and Lecturer,Purchase to unlock 👆,13,Jakarta,ID,Prefer not to tell,IDR,38000000,Net,Monthly,Medical Insurance,
Merchandiser,Purchase to unlock 👆,7,Yogyakarta,ID,Prefer not to tell,IDR,10500000,Gross,Monthly,,
Assistant Manager,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,25989590,Gross,Monthly,,
Strategic Project Manager,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,36700000,Gross,Monthly,RSU twice a year,
