iter	RMSE
0	8.431875461
1	8.422198328
2	8.416015998
3	8.363812569
4	8.361098805
5	8.315908388
6	8.263199793
7	8.256331256
8	8.222092848
9	8.205616003
10	8.192135176
11	8.145526305
12	8.123988408
13	8.114927655
14	8.083027183
15	8.038368808
16	8.034522502
17	8.026842171
18	8.014776765
19	7.998401872
20	7.953473725
21	7.944782264
22	7.937187451
23	7.889144083
24	7.879446296
25	7.834492265
26	7.82537319
27	7.819830033
28	7.808153054
29	7.792454867
30	7.781735704
31	7.778452545
32	7.76533188
33	7.724473518
34	7.712192113
35	7.6665099
36	7.640363225
37	7.63258807
38	7.624445783
39	7.585041104
40	7.57907195
41	7.556180479
42	7.54287619
43	7.507171679
44	7.494979376
45	7.486566307
46	7.474389572
47	7.44102286
48	7.435904154
49	7.398231729
50	7.391826226
51	7.376320808
52	7.364405092
53	7.331529979
54	7.298668378
55	7.289267761
56	7.257106683
57	7.218371695
58	7.207891732
59	7.180924461
60	7.15511673
61	7.151556992
62	7.12297901
63	7.111127931
64	7.103344312
65	7.090285595
66	7.086783106
67	7.06806094
68	7.052410491
69	7.04490345
70	7.03021994
71	7.020481769
72	6.996854572
73	6.993720564
74	6.968072524
75	6.959568876
76	6.933506678
77	6.928774073
78	6.922370373
79	6.90502168
80	6.894302613
81	6.884865167
82	6.861014545
83	6.856100107
84	6.851224725
85	6.840331046
86	6.833674897
87	6.830019802
88	6.824110475
89	6.823034868
90	6.798578568
91	6.774836474
92	6.769466616
93	6.756828145
94	6.74496387
95	6.719061895
96	6.7087425
97	6.702632379
98	6.69691241
99	6.68907667
100	6.687260486
101	6.657391294
102	6.650813032
103	6.642254871
104	6.639883061
105	6.639645858
106	6.634117045
107	6.63129891
108	6.62800431
109	6.625407498
110	6.622837413
111	6.619291271
112	6.611696012
113	6.604616717
114	6.592398598
115	6.588053114
116	6.569906592
117	6.567852821
118	6.547828573
119	6.540496937
120	6.53206255
121	6.528468141
122	6.515230461
123	6.497460038
124	6.47956321
125	6.470677266
126	6.465265688
127	6.46321468
128	6.458389487
129	6.453430052
130	6.448046672
131	6.444680737
132	6.422246699
133	6.4173737
134	6.413581698
135	6.403345558
136	6.39751626
137	6.393958345
138	6.38980636
139	6.383307582
140	6.376576803
141	6.34966582
142	6.344786632
143	6.33551928
