iter	Passed	Remaining
0	2	2557
1	4	2396
2	6	2226
3	8	2199
4	10	2130
5	12	2148
6	14	2122
7	16	2097
8	22	2467
9	24	2396
10	26	2371
11	28	2369
12	31	2354
13	35	2527
14	37	2489
15	45	2823
16	61	3538
17	63	3459
18	65	3374
19	67	3310
20	73	3422
21	83	3720
22	85	3646
23	88	3584
24	90	3537
25	92	3476
26	94	3410
27	100	3475
28	104	3501
29	106	3444
30	108	3398
31	113	3444
32	132	3889
33	141	4017
34	143	3958
35	148	3978
36	150	3918
37	152	3869
38	157	3890
39	162	3901
40	169	3974
41	174	3969
42	176	3921
43	178	3867
44	180	3824
45	182	3783
46	184	3743
47	191	3807
48	192	3742
49	197	3759
50	202	3767
51	206	3768
52	212	3788
53	213	3744
54	218	3754
55	220	3721
56	222	3683
57	229	3727
58	231	3699
59	236	3701
60	242	3736
61	244	3704
62	247	3673
63	248	3641
64	254	3656
65	255	3622
66	257	3587
67	259	3559
68	264	3570
69	266	3537
70	268	3511
71	270	3488
72	272	3466
73	275	3452
74	281	3466
75	282	3437
76	284	3414
77	286	3386
78	291	3396
79	304	3499
80	306	3476
81	308	3450
82	310	3426
83	311	3401
84	316	3406
85	323	3438
86	327	3439
87	329	3416
88	331	3393
89	332	3360
90	337	3375
91	340	3356
92	340	3323
93	345	3328
94	347	3305
95	349	3289
96	351	3269
97	353	3251
98	354	3226
99	357	3215
100	359	3203
101	362	3188
102	364	3175
103	366	3160
104	368	3142
105	369	3116
106	371	3100
107	373	3084
108	375	3069
109	377	3056
110	380	3044
111	382	3030
112	384	3015
113	386	3003
114	391	3016
115	393	3002
116	396	2989
117	398	2976
118	404	2991
119	406	2982
120	415	3019
121	420	3027
122	423	3019
123	425	3009
124	434	3041
125	437	3036
126	447	3078
127	455	3103
128	461	3118
129	463	3103
130	465	3091
131	468	3083
132	470	3070
133	473	3058
134	476	3050
135	486	3087
136	487	3072
137	489	3057
138	494	3066
139	496	3052
140	498	3039
141	505	3052
142	507	3040
143	509	3027
144	514	3034
145	519	3036
146	520	3022
147	523	3012
148	525	3001
149	527	2988
150	530	2980
151	532	2969
152	537	2976
153	539	2965
154	542	2957
155	548	2970
156	551	2963
157	554	2953
158	556	2943
159	558	2933
160	564	2941
161	567	2934
162	569	2922
163	570	2909
164	575	2913
165	577	2902
166	581	2901
167	583	2887
168	584	2873
169	586	2861
170	587	2848
171	589	2837
172	594	2841
173	596	2829
174	598	2820
175	600	2810
176	602	2801
177	605	2794
178	607	2787
179	609	2778
180	612	2771
181	615	2764
182	621	2773
183	625	2775
184	627	2765
185	634	2777
186	636	2766
187	638	2756
188	639	2745
189	641	2733
190	642	2723
191	647	2723
192	648	2712
193	655	2723
194	656	2712
195	661	2711
196	667	2720
197	669	2709
198	670	2699
199	672	2690
200	677	2691
201	678	2681
202	683	2682
203	685	2674
204	687	2665
205	689	2656
206	690	2643
207	692	2636
208	694	2626
209	695	2616
210	697	2608
211	704	2620
212	709	2619
213	711	2611
214	712	2601
215	714	2594
216	722	2606
217	724	2599
218	729	2602
219	738	2616
220	740	2609
221	745	2611
222	747	2603
223	748	2594
224	753	2595
225	755	2587
226	757	2578
227	759	2571
228	761	2562
229	762	2554
230	764	2546
231	766	2537
232	771	2538
233	773	2531
234	777	2531
235	779	2522
236	781	2515
237	783	2508
238	785	2501
239	791	2506
240	793	2499
241	795	2493
242	798	2486
243	802	2487
244	807	2489
245	810	2483
246	815	2487
247	817	2480
248	824	2487
249	826	2480
250	831	2482
251	834	2475
252	836	2468
253	841	2472
254	843	2465
255	848	2466
256	850	2457
257	854	2457
258	856	2450
259	858	2442
260	860	2435
261	861	2427
262	864	2421
263	866	2414
264	867	2406
265	869	2399
266	875	2403
267	877	2396
268	879	2389
269	881	2383
270	884	2378
271	885	2370
272	887	2362
273	894	2369
274	896	2363
275	898	2355
276	899	2348
277	904	2350
278	909	2349
279	910	2341
280	915	2342
281	919	2341
282	921	2334
283	923	2328
284	925	2321
285	927	2314
286	931	2315
287	933	2308
288	935	2301
289	939	2301
290	943	2299
291	945	2292
292	947	2285
293	948	2278
294	950	2271
295	952	2266
296	954	2259
297	958	2258
298	962	2257
299	964	2250
300	966	2243
301	967	2237
302	969	2230
303	971	2223
304	972	2216
305	974	2210
306	976	2203
307	980	2202
308	982	2196
309	983	2189
310	985	2183
311	987	2176
312	989	2171
313	994	2173
314	997	2168
315	998	2161
316	1000	2155
317	1002	2150
318	1004	2145
319	1006	2139
320	1008	2134
321	1013	2133
322	1017	2132
323	1019	2127
324	1024	2127
325	1026	2121
326	1027	2115
327	1030	2110
328	1032	2105
329	1035	2102
330	1037	2096
331	1041	2096
332	1043	2090
333	1048	2089
334	1050	2085
335	1057	2090
336	1059	2084
337	1061	2079
338	1066	2078
339	1067	2072
340	1069	2066
341	1071	2061
342	1073	2056
343	1078	2056
344	1079	2050
345	1083	2048
346	1088	2048
347	1093	2048
348	1095	2042
349	1097	2037
350	1099	2033
351	1101	2028
352	1104	2024
353	1110	2026
354	1112	2021
355	1115	2017
356	1118	2014
357	1121	2010
358	1131	2020
359	1134	2016
360	1137	2012
361	1139	2009
362	1141	2002
363	1144	1999
364	1149	2000
365	1152	1995
366	1157	1995
367	1163	1998
368	1165	1993
369	1167	1988
370	1169	1982
371	1171	1977
372	1176	1977
373	1180	1976
374	1182	1971
375	1188	1972
376	1190	1967
377	1193	1963
378	1195	1959
379	1198	1954
380	1199	1949
381	1201	1944
382	1207	1945
383	1212	1944
384	1214	1939
385	1216	1935
386	1221	1935
387	1223	1930
388	1228	1930
389	1230	1924
390	1234	1923
391	1236	1918
392	1241	1917
393	1243	1912
394	1247	1911
395	1251	1909
396	1253	1903
397	1255	1898
398	1256	1893
399	1258	1887
400	1259	1881
401	1261	1876
402	1265	1874
403	1267	1869
404	1268	1863
405	1270	1858
406	1271	1853
407	1273	1847
408	1275	1842
409	1276	1837
410	1280	1835
411	1287	1837
412	1288	1831
413	1290	1827
414	1295	1825
415	1296	1820
416	1300	1817
417	1302	1812
418	1303	1808
419	1308	1806
420	1312	1805
421	1316	1803
422	1318	1797
423	1319	1792
424	1323	1791
425	1328	1789
426	1334	1790
427	1335	1784
428	1337	1779
429	1341	1778
430	1343	1773
431	1347	1772
432	1349	1767
433	1351	1762
434	1356	1761
435	1358	1756
436	1362	1755
437	1364	1750
438	1368	1749
439	1370	1744
440	1372	1739
441	1379	1740
442	1383	1738
443	1385	1734
444	1387	1729
445	1388	1725
446	1390	1720
447	1392	1715
448	1394	1711
449	1396	1706
450	1400	1704
451	1402	1699
452	1403	1694
453	1405	1690
454	1410	1689
455	1413	1686
456	1419	1687
457	1422	1683
458	1427	1682
459	1431	1680
460	1435	1678
461	1437	1673
462	1439	1669
463	1444	1668
464	1446	1664
465	1450	1662
466	1454	1660
467	1456	1655
468	1457	1650
469	1459	1646
470	1464	1644
471	1465	1639
472	1467	1634
473	1468	1630
474	1470	1625
475	1474	1623
476	1478	1621
477	1480	1617
478	1482	1612
479	1483	1607
480	1485	1603
481	1490	1601
482	1492	1597
483	1496	1595
484	1497	1590
485	1499	1585
486	1501	1581
487	1503	1577
488	1508	1576
489	1513	1574
490	1515	1570
491	1517	1566
492	1521	1565
493	1527	1564
494	1530	1561
495	1537	1562
496	1542	1560
497	1543	1556
498	1548	1554
499	1549	1549
500	1551	1545
501	1553	1541
502	1558	1539
503	1565	1540
504	1569	1538
505	1571	1534
506	1573	1530
507	1575	1525
508	1580	1524
509	1582	1520
510	1584	1516
511	1585	1511
512	1587	1507
513	1592	1505
514	1596	1503
515	1598	1499
516	1601	1496
517	1603	1491
518	1605	1487
519	1606	1483
520	1608	1479
521	1610	1474
522	1617	1475
523	1619	1471
524	1620	1466
525	1625	1464
526	1627	1460
527	1631	1458
528	1632	1453
529	1634	1449
530	1636	1445
531	1643	1445
532	1645	1441
533	1646	1437
534	1651	1435
535	1652	1430
536	1654	1426
537	1656	1422
538	1658	1418
539	1665	1418
540	1666	1414
541	1668	1410
542	1673	1408
543	1677	1405
544	1678	1401
545	1680	1397
546	1682	1393
547	1683	1388
548	1688	1387
549	1690	1382
550	1691	1378
551	1700	1379
552	1703	1377
553	1705	1373
554	1707	1368
555	1711	1366
556	1713	1362
557	1715	1358
558	1716	1354
559	1721	1352
560	1722	1348
561	1726	1345
562	1728	1341
563	1732	1339
564	1734	1335
565	1736	1331
566	1740	1329
567	1745	1327
568	1746	1323
569	1748	1319
570	1753	1317
571	1755	1313
572	1757	1309
573	1762	1308
574	1765	1304
575	1766	1300
576	1771	1298
577	1773	1294
578	1778	1292
579	1782	1290
580	1784	1286
581	1788	1284
582	1792	1282
583	1797	1280
584	1798	1276
585	1800	1272
586	1802	1268
587	1804	1264
588	1805	1259
589	1807	1255
590	1812	1254
591	1814	1250
592	1818	1248
593	1823	1246
594	1824	1241
595	1826	1237
596	1828	1234
597	1829	1230
598	1831	1226
599	1838	1225
600	1839	1221
601	1841	1217
602	1845	1215
603	1847	1211
604	1850	1208
605	1854	1206
606	1859	1203
607	1864	1202
608	1865	1198
609	1868	1194
610	1870	1190
611	1875	1188
612	1876	1184
613	1878	1180
614	1880	1177
615	1887	1176
616	1889	1172
617	1894	1170
618	1896	1167
619	1907	1169
620	1914	1168
621	1921	1167
622	1922	1163
623	1925	1159
624	1937	1162
625	1940	1159
626	1946	1158
627	1948	1154
628	1951	1150
629	1958	1150
630	1960	1146
631	1963	1143
632	1966	1139
633	1968	1136
634	1970	1132
635	1971	1128
636	1973	1124
637	1975	1120
638	1983	1120
639	1985	1116
640	1992	1116
641	1994	1112
642	2004	1112
643	2009	1111
644	2016	1109
645	2018	1106
646	2023	1103
647	2025	1100
648	2027	1096
649	2029	1092
650	2036	1091
651	2038	1088
652	2044	1086
653	2045	1082
654	2047	1078
655	2049	1074
656	2051	1070
657	2052	1066
658	2054	1063
659	2056	1059
660	2058	1055
661	2059	1051
662	2061	1047
663	2068	1046
664	2069	1042
665	2071	1038
666	2076	1036
667	2078	1033
668	2080	1029
669	2084	1026
670	2086	1022
671	2087	1019
672	2089	1015
673	2091	1011
674	2092	1007
675	2094	1003
676	2098	1001
677	2102	998
678	2104	994
679	2106	991
680	2107	987
681	2112	984
682	2116	982
683	2118	978
684	2120	974
685	2122	971
686	2126	968
687	2131	966
688	2133	962
689	2141	961
690	2145	959
691	2148	956
692	2149	952
693	2153	949
694	2157	946
695	2164	945
696	2166	941
697	2168	938
698	2175	936
699	2180	934
700	2182	930
701	2187	928
702	2189	925
703	2191	921
704	2194	918
705	2196	914
706	2198	911
707	2200	907
708	2209	907
709	2213	904
710	2219	902
711	2225	900
712	2228	897
713	2234	895
714	2237	891
715	2247	891
716	2250	888
717	2257	886
718	2261	883
719	2268	882
720	2279	882
721	2282	878
722	2287	876
723	2288	872
724	2291	869
725	2292	865
726	2294	861
727	2301	859
728	2303	856
729	2308	853
730	2310	850
731	2315	847
732	2320	845
733	2322	841
734	2324	838
735	2326	834
736	2328	830
737	2332	828
738	2334	824
739	2336	820
740	2338	817
741	2339	813
742	2341	809
743	2343	806
744	2348	803
745	2349	800
746	2351	796
747	2353	792
748	2358	790
749	2360	786
750	2362	783
751	2364	779
752	2369	777
753	2371	773
754	2373	770
755	2375	766
756	2377	763
757	2379	759
758	2381	756
759	2382	752
760	2384	748
761	2386	745
762	2387	741
763	2389	738
764	2391	734
765	2392	730
766	2394	727
767	2395	723
768	2400	721
769	2406	718
770	2408	715
771	2410	711
772	2411	708
773	2414	704
774	2416	701
775	2417	697
776	2419	694
777	2421	691
778	2424	687
779	2425	684
780	2427	680
781	2430	677
782	2436	675
783	2439	672
784	2441	668
785	2444	665
786	2446	662
787	2447	658
788	2456	657
789	2458	653
790	2466	651
791	2468	648
792	2473	645
793	2475	642
794	2478	639
795	2483	636
796	2484	632
797	2486	629
798	2488	626
799	2494	623
800	2507	623
801	2510	619
802	2512	616
803	2516	613
804	2518	610
805	2520	606
806	2525	603
807	2527	600
808	2533	598
809	2535	594
810	2544	592
811	2548	590
812	2550	586
813	2555	583
814	2560	581
815	2562	577
816	2564	574
817	2566	571
818	2571	568
819	2575	565
820	2579	562
821	2581	558
822	2582	555
823	2583	551
824	2585	548
825	2587	544
826	2588	541
827	2595	539
828	2597	535
829	2599	532
830	2600	528
831	2602	525
832	2606	522
833	2610	519
834	2614	516
835	2618	513
836	2621	510
837	2622	507
838	2624	503
839	2626	500
840	2628	496
841	2630	493
842	2632	490
843	2636	487
844	2638	483
845	2642	480
846	2646	478
847	2647	474
848	2649	471
849	2651	467
850	2652	464
851	2654	461
852	2655	457
853	2660	454
854	2661	451
855	2663	448
856	2665	444
857	2672	442
858	2673	438
859	2675	435
860	2677	432
861	2682	429
862	2684	426
863	2691	423
864	2693	420
865	2695	417
866	2697	413
867	2699	410
868	2701	407
869	2706	404
870	2707	401
871	2714	398
872	2718	395
873	2720	392
874	2724	389
875	2730	386
876	2734	383
877	2735	380
878	2737	376
879	2741	373
880	2742	370
881	2744	367
882	2748	364
883	2752	361
884	2758	358
885	2762	355
886	2764	352
887	2766	348
888	2767	345
889	2769	342
890	2771	338
891	2773	335
892	2775	332
893	2781	329
894	2783	326
895	2787	323
896	2788	320
897	2790	316
898	2794	313
899	2795	310
900	2797	307
901	2799	304
902	2803	301
903	2804	297
904	2808	294
905	2812	291
906	2814	288
907	2816	285
908	2821	282
